[gNodeB - Phát sóng] Khởi chạy thành công. Đang phát SSB mỗi 80 ms...
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  104 | MIB.sfn_msb6 = 0x06 (6) | sfn_lsb4 = 0x8 (8)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  112 | MIB.sfn_msb6 = 0x07 (7) | sfn_lsb4 = 0x0 (0)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  120 | MIB.sfn_msb6 = 0x07 (7) | sfn_lsb4 = 0x8 (8)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  128 | MIB.sfn_msb6 = 0x08 (8) | sfn_lsb4 = 0x0 (0)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  136 | MIB.sfn_msb6 = 0x08 (8) | sfn_lsb4 = 0x8 (8)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  144 | MIB.sfn_msb6 = 0x09 (9) | sfn_lsb4 = 0x0 (0)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  152 | MIB.sfn_msb6 = 0x09 (9) | sfn_lsb4 = 0x8 (8)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  160 | MIB.sfn_msb6 = 0x0A (10) | sfn_lsb4 = 0x0 (0)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  168 | MIB.sfn_msb6 = 0x0A (10) | sfn_lsb4 = 0x8 (8)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  176 | MIB.sfn_msb6 = 0x0B (11) | sfn_lsb4 = 0x0 (0)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  184 | MIB.sfn_msb6 = 0x0B (11) | sfn_lsb4 = 0x8 (8)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  192 | MIB.sfn_msb6 = 0x0C (12) | sfn_lsb4 = 0x0 (0)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  200 | MIB.sfn_msb6 = 0x0C (12) | sfn_lsb4 = 0x8 (8)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  208 | MIB.sfn_msb6 = 0x0D (13) | sfn_lsb4 = 0x0 (0)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  216 | MIB.sfn_msb6 = 0x0D (13) | sfn_lsb4 = 0x8 (8)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  224 | MIB.sfn_msb6 = 0x0E (14) | sfn_lsb4 = 0x0 (0)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  232 | MIB.sfn_msb6 = 0x0E (14) | sfn_lsb4 = 0x8 (8)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  240 | MIB.sfn_msb6 = 0x0F (15) | sfn_lsb4 = 0x0 (0)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  248 | MIB.sfn_msb6 = 0x0F (15) | sfn_lsb4 = 0x8 (8)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  256 | MIB.sfn_msb6 = 0x10 (16) | sfn_lsb4 = 0x0 (0)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  264 | MIB.sfn_msb6 = 0x10 (16) | sfn_lsb4 = 0x8 (8)
[gNodeB - Phát sóng] Đã gửi SSB cho 1 UE -> SFN =  272 | MIB.sfn_msb6 = 0x11 (17) | sfn_lsb4 = 0x0 (0)
